Date, Open, High, Low, Close
09/05/23, 4510.06, 4514.29, 4496.01, 4496.83
09/01/23, 4530.85, 4541.25, 4501.35, 4515.77
08/31/23, 4517.01, 4532.26, 4507.39, 4507.66
08/30/23, 4500.34, 4521.65, 4493.59, 4514.87
08/29/23, 4432.75, 4500.14, 4431.68, 4497.63
08/28/23, 4426.03, 4439.56, 4414.98, 4433.31
08/25/23, 4389.38, 4418.46, 4356.29, 4405.71
08/24/23, 4455.16, 4458.30, 4375.55, 4376.31
08/23/23, 4396.44, 4443.18, 4396.44, 4436.01
08/22/23, 4415.33, 4418.59, 4382.77, 4387.55
08/21/23, 4380.28, 4407.55, 4360.30, 4399.77
08/18/23, 4344.88, 4381.82, 4335.31, 4369.71
08/17/23, 4416.32, 4421.17, 4364.83, 4370.36
08/16/23, 4433.79, 4449.95, 4403.55, 4404.33
08/15/23, 4478.87, 4478.87, 4432.19, 4437.86
08/14/23, 4458.13, 4490.33, 4453.44, 4489.72
08/11/23, 4450.69, 4476.23, 4443.98, 4464.05
08/10/23, 4487.16, 4527.37, 4457.92, 4468.83
08/09/23, 4501.57, 4502.44, 4461.33, 4467.71
08/08/23, 4498.03, 4503.31, 4464.39, 4499.38
08/07/23, 4491.58, 4519.84, 4491.15, 4518.44
08/04/23, 4513.96, 4540.34, 4474.55, 4478.03
08/03/23, 4494.27, 4519.49, 4485.54, 4501.89
08/02/23, 4550.93, 4550.93, 4505.75, 4513.39
08/01/23, 4578.83, 4584.62, 4567.53, 4576.73
07/31/23, 4584.82, 4594.22, 4573.14, 4588.96
07/28/23, 4565.75, 4590.16, 4564.01, 4582.23
07/27/23, 4598.26, 4607.07, 4528.56, 4537.41
07/26/23, 4558.96, 4582.47, 4547.58, 4566.75
07/25/23, 4555.19, 4580.62, 4552.42, 4567.46
07/24/23, 4543.39, 4563.41, 4541.29, 4554.64
07/21/23, 4550.16, 4555.00, 4535.79, 4536.34
07/20/23, 4554.38, 4564.74, 4527.56, 4534.87
07/19/23, 4563.87, 4578.43, 4557.48, 4565.72
07/18/23, 4521.78, 4562.30, 4514.59, 4554.98
07/17/23, 4508.86, 4532.85, 4504.90, 4522.79
07/14/23, 4514.61, 4527.76, 4499.56, 4505.42
07/13/23, 4491.50, 4517.38, 4489.36, 4510.04
07/12/23, 4467.69, 4488.34, 4463.23, 4472.16
07/11/23, 4415.55, 4443.64, 4408.46, 4439.26
07/10/23, 4394.23, 4412.60, 4389.92, 4409.53
07/07/23, 4404.54, 4440.39, 4397.40, 4398.95
07/06/23, 4422.62, 4422.62, 4385.05, 4411.59
07/05/23, 4442.04, 4454.06, 4436.61, 4446.82
07/03/23, 4449.45, 4456.46, 4442.29, 4455.59
06/30/23, 4422.44, 4458.48, 4422.44, 4450.38
06/29/23, 4374.94, 4398.39, 4371.97, 4396.44
06/28/23, 4367.48, 4390.35, 4360.22, 4376.86
06/27/23, 4337.36, 4384.42, 4335.00, 4378.41
06/26/23, 4344.84, 4362.06, 4328.08, 4328.82
06/23/23, 4354.17, 4366.55, 4341.34, 4348.33
06/22/23, 4355.40, 4382.25, 4351.82, 4381.89
06/21/23, 4380.01, 4386.22, 4360.14, 4365.69
06/20/23, 4396.11, 4400.15, 4367.19, 4388.71
06/16/23, 4442.70, 4448.47, 4407.44, 4409.59
06/15/23, 4365.33, 4439.20, 4362.60, 4425.84
06/14/23, 4366.29, 4391.82, 4337.85, 4372.59
06/13/23, 4352.61, 4375.37, 4349.31, 4369.01
06/12/23, 4308.32, 4340.13, 4304.37, 4338.93
06/09/23, 4304.88, 4322.62, 4291.70, 4298.86
06/08/23, 4268.69, 4298.01, 4261.07, 4293.93
06/07/23, 4285.47, 4299.19, 4263.96, 4267.52
06/06/23, 4271.34, 4288.33, 4263.09, 4283.85
06/05/23, 4282.99, 4299.28, 4266.82, 4273.79
06/02/23, 4241.01, 4290.67, 4241.01, 4282.37
06/01/23, 4183.03, 4232.43, 4171.64, 4221.02
05/31/23, 4190.74, 4195.44, 4166.15, 4179.83
05/30/23, 4226.71, 4231.10, 4192.18, 4205.52
05/26/23, 4155.98, 4212.87, 4156.16, 4205.45
05/25/23, 4155.71, 4165.74, 4129.73, 4151.28
05/24/23, 4132.96, 4132.96, 4103.98, 4115.24
05/23/23, 4176.80, 4185.68, 4142.54, 4145.58
05/22/23, 4190.78, 4209.22, 4179.68, 4192.63
05/19/23, 4204.15, 4212.91, 4180.20, 4191.98
05/18/23, 4157.68, 4202.20, 4153.50, 4198.05
05/17/23, 4122.85, 4164.67, 4113.62, 4158.77
05/16/23, 4127.95, 4135.54, 4109.86, 4109.90
05/15/23, 4126.65, 4141.25, 4110.27, 4136.28
05/12/23, 4138.54, 4143.74, 4099.12, 4124.08
05/11/23, 4132.24, 4132.80, 4109.29, 4130.62
05/10/23, 4143.74, 4154.28, 4098.92, 4137.64
05/09/23, 4124.25, 4130.35, 4116.65, 4119.17
05/08/23, 4136.98, 4142.30, 4123.81, 4138.12
05/05/23, 4084.73, 4147.02, 4084.73, 4136.25
05/04/23, 4082.55, 4082.61, 4048.28, 4061.22
05/03/23, 4122.25, 4148.30, 4088.86, 4090.75
05/02/23, 4164.10, 4164.10, 4089.72, 4119.58
05/01/23, 4166.79, 4186.92, 4164.12, 4167.87
04/28/23, 4129.63, 4170.06, 4127.18, 4169.48
04/27/23, 4075.29, 4138.24, 4075.29, 4135.35
04/26/23, 4087.78, 4089.67, 4049.35, 4055.99
04/25/23, 4126.43, 4126.43, 4071.38, 4071.63
04/24/23, 4132.07, 4142.41, 4117.77, 4137.04
04/21/23, 4132.14, 4138.02, 4113.86, 4133.52
04/20/23, 4130.48, 4148.57, 4114.57, 4129.79
04/19/23, 4139.33, 4162.57, 4134.49, 4154.52
04/18/23, 4164.26, 4169.48, 4140.36, 4154.87
04/17/23, 4137.17, 4151.72, 4123.18, 4151.32
04/14/23, 4140.11, 4163.19, 4113.20, 4137.64
04/13/23, 4100.04, 4150.26, 4099.40, 4146.22
04/12/23, 4121.72, 4134.37, 4086.94, 4091.95
04/11/23, 4110.29, 4124.26, 4102.61, 4108.94
04/10/23, 4085.20, 4109.50, 4072.55, 4109.11
04/06/23, 4081.58, 4107.32, 4069.84, 4105.02
04/05/23, 4094.50, 4099.69, 4072.56, 4090.38
04/04/23, 4128.03, 4133.13, 4086.87, 4100.60
04/03/23, 4102.20, 4127.66, 4098.79, 4124.51
